feedback_id,delivery_id,rating,comment,feedback_datetime
F01000143,D2026000416,5,Polite and professional driver.,03:15.2
F01000144,D2026000420,4,No problems with the delivery.,36:34.3
F01000145,D2026000423,5,,16:57.1
F01000146,D2026000424,5,"Great experience, no complaints.",45:22.1
F01000147,D2026000426,5,,46:40.8
F01000148,D2026000429,4,"Came within the window, all good.",16:04.8
F01000149,D2026000432,5,Driver was very friendly and on time.,10:37.7
F01000150,D2026000440,4,"Delivery was on time, no issues.",05:21.2
F01000151,D2026000441,5,,10:22.7
F01000152,D2026000442,5,"Excellent service, package arrived in perfect condition.",29:46.2
F01000153,D2026000443,4,"Delivery was on time, no issues.",59:30.7
F01000154,D2026000445,5,"Driver called ahead, super helpful.",25:23.3
F01000155,D2026000446,5,"Great experience, no complaints.",53:27.2
F01000156,D2026000450,5,"Smooth delivery, will use again. Driver very polite, can!",08:57.8
F01000157,D2026000451,5,"Driver called ahead, super helpful.",38:56.4
F01000158,D2026000455,5,Polite and professional driver.,31:32.8
F01000159,D2026000458,5,"Smooth delivery, will use again.",21:56.2
F01000160,D2026000460,5,Polite and professional driver.,14:36.6
F01000161,D2026000466,4,,35:44.5
F01000162,D2026000467,4,,36:47.6
F01000163,D2026000472,5,"Delivered ahead of schedule, very impressed.",51:59.2
F01000164,D2026000474,5,"Driver called ahead, super helpful.",41:44.7
F01000165,D2026000476,5,Driver was very friendly and on time.,20:46.3
F01000166,D2026000479,4,"Reasonable speed, package was fine.",20:52.4
F01000167,D2026000480,5,"Smooth delivery, will use again.",47:58.6
F01000168,D2026000482,4,Good service overall.,19:47.1
F01000169,D2026000483,4,"Reasonable speed, package was fine.",55:03.3
F01000170,D2026000485,4,,34:47.8
F01000171,D2026000489,5,,20:55.7
F01000172,D2026000493,5,"Excellent service, package arrived in perfect condition. Smooth lah, thanks.",04:09.5
F01000173,D2026000494,5,Polite and professional driver.,50:23.2
F01000174,D2026000495,4,Good service overall.,20:54.4
F01000175,D2026000496,5,"Great experience, no complaints.",17:05.1
F01000176,D2026000497,1,,21:17.2
F01000177,D2026000500,4,"Driver was okay, would recommend.",40:01.1
F01000178,D2026000501,4,"Came within the window, all good.",52:01.1
F01000179,D2026000502,4,"Delivery was on time, no issues.",11:25.8
F01000180,D2026000504,5,"Delivered ahead of schedule, very impressed.",16:50.9
F01000181,D2026000507,5,"Delivered ahead of schedule, very impressed.",38:43.5
F01000182,D2026000513,5,,19:49.1
F01000183,D2026000515,5,Polite and professional driver.,44:12.7
F01000184,D2026000516,5,"Great experience, no complaints.",44:41.3
F01000185,D2026000517,5,"Driver called ahead, super helpful.",03:36.3
F01000186,D2026000523,,,15:14.2
F01000187,D2026000524,5,"Smooth delivery, will use again.",11:03.9
F01000188,D2026000527,4,Good service overall.,20:21.8
F01000189,D2026000529,1,Package arrived damaged! Promised window was completely missed.,00:13.9
F01000190,D2026000532,5,"Driver called ahead, super helpful. Fast fast, shiok.",51:23.3
F01000191,D2026000536,5,"Driver called ahead, super helpful.",23:51.3
F01000192,D2026000542,4,,39:23.6
F01000193,D2026000543,4,No problems with the delivery.,31:59.0
F01000194,D2026000546,5,"Great experience, no complaints.",42:13.0
F01000195,D2026000547,5,,16:56.2
F01000196,D2026000549,5,"Smooth delivery, will use again.",06:56.3
F01000197,D2026000551,5,"Excellent service, package arrived in perfect condition.",03:20.6
F01000198,D2026000555,4,Good service overall.,32:09.1
F01000199,D2026000556,5,Driver was very friendly and on time.,58:15.7
F01000200,D2026000557,3,,33:18.1
F01000201,D2026000561,5,"Driver called ahead, super helpful.",01:24.7
F01000202,D2026000566,2,Driver was rude on arrival. Promised window was completely missed.,12:00.4
F01000203,D2026000569,5,"Excellent service, package arrived in perfect condition.",24:43.9
F01000204,D2026000570,5,"Smooth delivery, will use again. Driver very polite, can!",56:51.1
F01000205,D2026000575,4,Good service overall.,10:27.2
F01000206,D2026000576,3,Took a bit longer than expected but arrived.,04:05.1
F01000207,D2026000578,5,"On time as always, thanks!",08:23.3
F01000208,D2026000582,4,Good service overall.,28:36.1
F01000209,D2026000584,5,"Great experience, no complaints.",41:48.5
F01000210,D2026000586,5,"On time as always, thanks!",06:37.6
F01000211,D2026000587,5,Driver was very friendly and on time.,21:58.0
F01000212,D2026000593,4,"Driver was okay, would recommend.",22:45.9
F01000213,D2026000598,3,Average experience.,19:28.0
F01000214,D2026000604,4,"Delivery was on time, no issues.",55:01.8
F01000215,D2026000607,,Driver was very friendly and on time.,21:58.4
F01000216,D2026000611,5,Polite and professional driver.,54:00.9
F01000217,D2026000612,5,"Delivered ahead of schedule, very impressed.",38:11.9
F01000218,D2026000613,4,"Came within the window, all good.",15:59.6
F01000219,D2026000617,4,"Driver was okay, would recommend.",02:34.2
F01000220,D2026000623,4,"Delivery was on time, no issues.",17:59.6
F01000221,D2026000624,5,"Driver called ahead, super helpful.",29:50.0
F01000222,D2026000627,,"Excellent service, package arrived in perfect condition.",12:08.7
F01000223,D2026000631,4,"Driver was okay, would recommend.",07:54.4
F01000224,D2026000633,5,"Smooth delivery, will use again.",10:42.4
F01000225,D2026000635,4,,22:15.4
F01000226,D2026000636,4,,28:43.6
F01000227,D2026000637,3,Delivery was acceptable.,20:37.6
F01000228,D2026000638,5,"Excellent service, package arrived in perfect condition.",20:15.0
F01000229,D2026000640,5,"Smooth delivery, will use again.",55:30.4
F01000230,D2026000643,5,"Smooth delivery, will use again. Driver very polite, can!",09:09.6
F01000231,D2026000644,4,Good service overall.,37:05.3
F01000232,D2026000645,5,Driver was very friendly and on time.,31:31.6
F01000233,D2026000650,5,"Driver called ahead, super helpful.",41:21.2
F01000234,D2026000651,2,Communication was poor.,51:39.1
F01000235,D2026000653,,Package was broken when I opened it. Promised window was completely missed.,49:45.3
F01000236,D2026000654,5,"On time as always, thanks!",22:27.8
F01000237,D2026000656,5,"Excellent service, package arrived in perfect condition.",46:04.4
F01000238,D2026000657,4,"Came within the window, all good.",09:02.9
F01000239,D2026000658,4,,51:37.0
F01000240,D2026000659,5,"Polite and professional driver. Smooth lah, thanks.",48:39.1
F01000241,D2026000661,5,Driver was very friendly and on time.,38:05.3
F01000242,D2026000663,5,"Excellent service, package arrived in perfect condition.",10:11.1
F01000243,D2026000665,4,,21:13.1
F01000244,D2026000666,3,Driver could be more friendly.,13:20.8
F01000245,D2026000667,4,"Delivery was on time, no issues.",08:47.4
F01000246,D2026000670,4,Good service overall.,48:17.5
F01000247,D2026000671,5,"Great experience, no complaints.",05:11.3
F01000248,D2026000676,5,"Smooth delivery, will use again.",09:06.7
F01000249,D2026000677,4,"Delivery was on time, no issues.",01:14.4
F01000250,D2026000678,4,"Reasonable speed, package was fine.",57:39.7
F01000251,D2026000688,4,,09:17.0
F01000252,D2026000689,4,,04:16.3
F01000253,D2026000690,5,"Driver called ahead, super helpful.",01:33.1
F01000254,D2026000692,4,,58:14.6
F01000255,D2026000693,3,,56:18.1
F01000256,D2026000697,4,"Reasonable speed, package was fine.",36:07.7
F01000257,D2026000698,5,"Excellent service, package arrived in perfect condition.",30:07.6
F01000258,D2026000699,4,No problems with the delivery.,51:26.0
F01000259,D2026000700,5,,10:08.2
F01000260,D2026000702,3,Service was just okay.,42:20.6
F01000261,D2026000707,4,No problems with the delivery.,17:07.1
F01000262,D2026000723,4,No problems with the delivery.,36:12.6
F01000263,D2026000725,2,Not happy with how long this took.,52:13.2
F01000264,D2026000728,4,,36:44.5
F01000265,D2026000729,5,"Driver called ahead, super helpful.",59:49.1
F01000266,D2026000730,5,Polite and professional driver.,23:31.2
F01000267,D2026000732,4,,31:58.9
F01000268,D2026000733,5,"Driver called ahead, super helpful.",47:03.8
F01000269,D2026000734,3,Service was just okay.,55:08.4
F01000270,D2026000735,,"Came within the window, all good.",03:12.8
F01000271,D2026000738,5,"Driver called ahead, super helpful.",12:02.6
F01000272,D2026000740,5,"Delivered ahead of schedule, very impressed.",52:17.1
F01000273,D2026000741,4,Good service overall.,02:02.7
F01000274,D2026000748,5,Driver was very friendly and on time.,39:23.2
F01000275,D2026000749,5,,10:59.5
F01000276,D2026000751,5,"Delivered ahead of schedule, very impressed.",07:02.9
F01000277,D2026000761,4,,51:40.8
F01000278,D2026000764,5,"Delivered ahead of schedule, very impressed.",53:39.9
F01000279,D2026000778,4,"Driver was okay, would recommend.",13:55.9
F01000280,D2026000779,5,Driver was very friendly and on time.,51:34.6
F01000281,D2026000781,4,Good service overall.,01:25.5
F01000282,D2026000782,5,Driver was very friendly and on time.,49:36.2
F01000283,D2026000783,5,"Driver called ahead, super helpful. Smooth lah, thanks.",07:09.7
F01000284,D2026000792,4,Good service overall.,22:10.8
F01000285,D2026000794,5,"Excellent service, package arrived in perfect condition.",42:20.0
F01000286,D2026000801,5,"Smooth delivery, will use again.",28:16.2
F01000287,D2026000804,4,"Delivery was on time, no issues.",52:34.2
F01000288,D2026000807,4,"Driver was okay, would recommend.",28:43.6
F01000289,D2026000813,4,Good service overall.,40:54.4
F01000290,D2026000826,5,Polite and professional driver.,21:06.2
F01000291,D2026000829,5,Driver was very friendly and on time.,31:11.9
F01000292,D2026000831,4,,47:13.9
F01000293,D2026000835,5,"Smooth delivery, will use again. Fast fast, shiok.",43:58.4
F01000294,D2026000836,5,Polite and professional driver.,06:06.3
F01000295,D2026000838,5,"Smooth delivery, will use again.",45:59.0
F01000296,D2026000844,5,Polite and professional driver.,08:35.0
F01000297,D2026000848,5,,01:16.1
F01000298,D2026000850,5,"Polite and professional driver. Fast fast, shiok.",38:44.3
F01000299,D2026000851,5,"Excellent service, package arrived in perfect condition.",17:18.5
F01000300,D2026000853,4,,44:09.9
F01000301,D2026000858,4,No problems with the delivery.,18:05.9
F01000302,D2026000860,5,"Smooth delivery, will use again.",29:18.2
F01000303,D2026000861,3,,28:36.8
F01000304,D2026000862,4,Good service overall.,07:07.9
F01000305,D2026000867,5,"Driver called ahead, super helpful. Fast fast, shiok.",34:19.7
F01000306,D2026000870,5,"Excellent service, package arrived in perfect condition.",18:59.7
F01000307,D2026000879,2,Communication was poor. Driver damn rude lah.,41:52.4
F01000308,D2026000884,4,"Driver was okay, would recommend.",59:03.2
F01000309,D2026000886,5,"Great experience, no complaints.",48:28.2
F01000310,D2026000888,5,"Great experience, no complaints.",27:03.3
F01000311,D2026000890,4,Good service overall.,42:33.0
F01000312,D2026000894,5,Polite and professional driver.,47:27.4
F01000313,D2026000897,4,"Driver was okay, would recommend.",50:43.6
F01000314,D2026000898,,"Smooth delivery, will use again.",30:03.9
F01000315,D2026000899,,,46:27.5
F01000316,D2026000901,4,Good service overall.,11:35.9
F01000317,D2026000902,4,"Reasonable speed, package was fine.",44:04.8
F01000318,D2026000904,5,,05:27.5
F01000319,D2026000905,4,"Came within the window, all good.",40:02.9
F01000320,D2026000906,4,"Reasonable speed, package was fine.",12:23.3
F01000321,D2026000909,4,"Delivery was on time, no issues.",23:24.7
F01000322,D2026000910,5,"Excellent service, package arrived in perfect condition.",10:35.3
F01000323,D2026000912,5,"On time as always, thanks! Driver very polite, can!",43:33.6
F01000324,D2026000913,4,No problems with the delivery.,42:50.3
F01000325,D2026000914,5,"Smooth delivery, will use again.",15:23.4
F01000326,D2026000915,1,,25:46.3
F01000327,D2026000916,5,"Smooth delivery, will use again.",08:55.6
F01000328,D2026000921,5,"Delivered ahead of schedule, very impressed.",22:47.3
F01000329,D2026000922,5,"Driver called ahead, super helpful.",08:26.9
F01000330,D2026000925,4,,00:05.3
F01000331,D2026000927,4,No problems with the delivery. ï¿½ï¿½ï¿,06:40.2
F01000332,D2026000931,2,Why is it so slow these days? The driver came hours after the promised time.,01:04.6
F01000333,D2026000941,4,"Reasonable speed, package was fine. ï¿½ï¿½ï",04:11.7
F01000334,D2026000949,5,"Smooth delivery, will use again. Smooth lah, thanks.",31:35.7
F01000335,D2026000950,5,"Great experience, no complaints.",21:09.3
F01000336,D2026000951,5,"Great experience, no complaints.",25:09.5
F01000337,D2026000952,4,,46:14.4
F01000338,D2026000957,2,Not happy with how long this took. You can tell the parcel was thrown around.,17:47.1
F01000339,D2026000964,2,Why is it so slow these days? Very late and no notification at all.,22:48.8
F01000340,D2026000965,5,"Driver called ahead, super helpful.",57:46.7
F01000341,D2026000967,4,,59:02.0
F01000342,D2026000968,5,"Great experience, no complaints.",54:39.3
F01000343,D2026000969,5,"Driver called ahead, super helpful.",19:33.6
F01000344,D2026000974,5,"Smooth delivery, will use again.",39:14.9
F01000345,D2026000975,5,Polite and professional driver.,40:37.1
F01000346,D2026000977,4,"Came within the window, all good.",43:08.1
F01000347,D2026000978,5,,30:33.3
F01000348,D2026000981,4,"Came within the window, all good.",13:58.8
F01000349,D2026000985,5,"On time as always, thanks! Driver very polite, can!",48:39.3
F01000350,D2026000986,5,"Excellent service, package arrived in perfect condition.",03:16.2
F01000351,D2026000991,5,"Driver called ahead, super helpful.",03:17.2
F01000352,D2026000993,5,"Polite and professional driver. Driver very polite, can!",26:32.0
F01000353,D2026000995,4,"Reasonable speed, package was fine.",11:17.2
F01000354,D2026000997,4,Good service overall.,30:11.2
F01000355,D2026000998,1,Driver was extremely unprofessional.,43:23.7
F01000356,D2026000999,5,Driver was very friendly and on time.,34:31.0
F01000357,D2026001001,5,"On time as always, thanks!",00:37.7
F01000358,D2026001003,5,"On time as always, thanks!",12:17.2
F01000359,D2026001004,5,"Delivered ahead of schedule, very impressed.",18:44.1
F01000360,D2026001008,4,Good service overall.,26:40.7
F01000361,D2026001015,3,Driver could be more friendly.,46:19.5
F01000362,D2026001016,5,,15:41.5
F01000363,D2026001017,5,Driver was very friendly and on time.,49:57.4
F01000364,D2026001019,3,Driver could be more friendly.,10:56.1
F01000365,D2026001022,5,"Delivered ahead of schedule, very impressed.",33:53.1
F01000366,D2026001026,5,Driver was very friendly and on time.,46:05.0
F01000367,D2026001028,4,,29:27.1
F01000368,D2026001029,4,"Reasonable speed, package was fine.",55:51.4
F01000369,D2026001032,5,"Delivered ahead of schedule, very impressed.",03:30.0
F01000370,D2026001033,5,,26:37.1
F01000371,D2026001036,5,"Excellent service, package arrived in perfect condition.",34:32.0
F01000372,D2026001045,5,Driver was very friendly and on time.,44:52.3
F01000373,D2026001047,5,,47:16.5
F01000374,D2026001050,,"Smooth delivery, will use again.",49:44.3
F01000375,D2026001055,4,"Reasonable speed, package was fine.",57:40.6
F01000376,D2026001056,5,,07:17.7
F01000377,D2026001061,5,"Driver called ahead, super helpful.",25:35.3
F01000378,D2026001063,3,,17:53.5
F01000379,D2026001066,4,"Delivery was on time, no issues.",50:30.6
F01000380,D2026001067,5,"Great experience, no complaints.",57:49.4
F01000381,D2026001069,2,Package looked roughly handled. Promised window was completely missed.,04:23.1
F01000382,D2026001072,5,"Driver called ahead, super helpful.",39:50.3
F01000383,D2026001074,4,No problems with the delivery.,58:56.2
F01000384,D2026001084,4,"Driver was okay, would recommend.",33:14.6
F01000385,D2026001088,5,"Smooth delivery, will use again.",35:27.9
F01000386,D2026001089,5,Polite and professional driver.,29:39.3
F01000387,D2026001090,3,,47:13.1
F01000388,D2026001092,5,"On time as always, thanks!",53:01.9
F01000389,D2026001094,5,Polite and professional driver.,23:28.3
F01000390,D2026001097,4,,07:02.7
F01000391,D2026001107,3,Took a bit longer than expected but arrived.,44:17.8
F01000392,D2026001109,4,"Driver was okay, would recommend.",55:58.3
F01000393,D2026001112,5,Driver was very friendly and on time.,09:16.9
F01000394,D2026001113,4,,24:22.9
F01000395,D2026001116,5,"Excellent service, package arrived in perfect condition.",47:45.1
F01000396,D2026001120,5,"Excellent service, package arrived in perfect condition.",27:51.8
F01000397,D2026001122,5,"On time as always, thanks!",43:55.2
F01000398,D2026001131,4,No problems with the delivery.,02:19.1
F01000399,D2026001132,2,Package looked roughly handled. Why so slow ah?,13:37.0
F01000400,D2026001141,5,"Excellent service, package arrived in perfect condition.",14:14.3
F01000401,D2026001148,5,"Delivered ahead of schedule, very impressed.",42:31.7
F01000402,D2026001153,5,Polite and professional driver.,29:12.1
F01000403,D2026001154,4,,57:23.7
F01000404,D2026001155,4,,37:59.3
F01000405,D2026001157,5,"Delivered ahead of schedule, very impressed.",12:08.4
F01000406,D2026001164,5,"On time as always, thanks!",29:54.8
F01000407,D2026001176,4,No problems with the delivery.,21:15.7
F01000408,D2026001178,4,"Delivery was on time, no issues.",36:52.1
F01000409,D2026001182,3,,00:49.5
F01000410,D2026001187,4,"Came within the window, all good.",39:24.1
F01000411,D2026001194,1,Driver was extremely unprofessional.,57:29.7
F01000412,D2026001195,5,"Delivered ahead of schedule, very impressed.",50:42.8
F01000413,D2026001196,5,"Delivered ahead of schedule, very impressed.",11:57.7
F01000414,D2026001197,4,Good service overall.,04:05.5
F01000415,D2026001198,5,Driver was very friendly and on time.,48:01.7
F01000416,D2026001199,,Very disappointed with the service. Very late and no notification at all.,09:43.7
F01000417,D2026001204,5,,22:54.6
F01000418,D2026001205,4,"Came within the window, all good.",56:34.8
F01000419,D2026001207,5,"Driver called ahead, super helpful. Fast fast, shiok.",37:21.6
F01000420,D2026001213,3,Average experience.,48:23.6
F01000421,D2026001214,5,"Delivered ahead of schedule, very impressed.",32:26.3
F01000422,D2026001215,,"Smooth delivery, will use again.",53:43.7
F01000423,D2026001218,5,Polite and professional driver.,05:03.9
F01000424,D2026001220,4,Good service overall.,50:10.6
F01000425,D2026001221,5,"Delivered ahead of schedule, very impressed. Driver very polite, can!",32:00.5
F01000426,D2026001222,5,"Driver called ahead, super helpful.",41:09.5
F01000427,D2026001224,4,,39:57.9
F01000428,D2026001228,4,"Reasonable speed, package was fine.",21:18.0
F01000429,D2026001229,4,,00:23.6
F01000430,D2026001230,2,Not happy with how long this took.,57:54.1
F01000431,D2026001231,5,"Excellent service, package arrived in perfect condition.",18:57.1
F01000432,D2026001232,5,"On time as always, thanks!",29:12.3
F01000433,D2026001235,5,"Great experience, no complaints.",47:35.6
F01000434,D2026001236,5,Polite and professional driver.,21:07.5
F01000435,D2026001238,5,Polite and professional driver.,06:38.9
F01000436,D2026001242,5,,30:19.2
F01000437,D2026001245,5,Driver was very friendly and on time.,15:42.3
F01000438,D2026001247,5,"On time as always, thanks!",10:09.7
F01000439,D2026001251,4,"Driver was okay, would recommend.",38:55.7
F01000440,D2026001252,3,Delivery was acceptable.,37:58.0
F01000441,D2026001255,4,"Came within the window, all good.",10:29.3
F01000442,D2026001258,5,"Smooth delivery, will use again. Smooth lah, thanks.",28:34.8
F01000443,D2026001263,5,,08:22.9
F01000444,D2026001267,5,"Delivered ahead of schedule, very impressed.",43:13.4
F01000445,D2026001270,5,"Driver called ahead, super helpful.",46:43.5
F01000446,D2026001274,4,"Came within the window, all good.",02:42.2
F01000447,D2026001278,5,"Delivered ahead of schedule, very impressed.",11:59.3
F01000448,D2026001279,3,Took a bit longer than expected but arrived.,26:34.8
F01000449,D2026001282,5,"Great experience, no complaints.",32:38.3
F01000450,D2026001283,4,"Came within the window, all good.",04:32.3
F01000451,D2026001284,5,"Smooth delivery, will use again.",04:43.3
F01000452,D2026001285,2,Not happy with how long this took. Like that how to use again?,18:54.9
F01000453,D2026001286,4,,42:31.3
