Driver ID,Total Deliveries,Deliveries with Feedback,Avg Rating,Service Consistency (Std Dev),Min Rating,Max Rating,Positive %,Negative %,Avg Distance (km),Avg Experience (months),Vehicle Type,Primary Depot,Performance Score
DRV0131,766,265,4.4,0.89,1,5,87.5,5.3,5.87,19.3,van,central,22.4
DRV0057,760,267,4.39,0.89,1,5,87.6,6,5.63,17.7,van,central,22.4
DRV0120,772,252,4.36,0.87,1,5,87.3,5.6,5.83,19.2,van,central,22.4
DRV0184,750,259,4.36,0.98,1,5,87.3,6.2,5.83,18,van,central,22.3
DRV0173,851,291,4.34,0.95,1,5,86.9,5.2,5.73,18.4,van,central,22.3
DRV0067,789,282,4.37,0.92,1,5,86.9,6.4,5.6,17.2,van,central,22.3
DRV0044,742,251,4.35,0.92,1,5,86.9,5.2,5.81,18.5,van,central,22.3
DRV0095,808,268,4.36,0.89,1,5,86.9,5.2,5.57,17.8,van,central,22.3
DRV0097,745,287,4.36,0.88,1,5,87.1,4.5,5.97,18.2,van,central,22.3
DRV0183,763,267,4.38,0.9,1,5,86.9,4.9,5.74,17.8,van,central,22.3
DRV0024,771,282,4.34,0.98,1,5,87.2,7.1,5.82,19.2,van,central,22.3
DRV0042,764,259,4.37,0.91,1,5,86.9,5.8,5.61,18.7,van,central,22.3
DRV0151,711,252,4.35,1,1,5,86.9,7.5,5.75,17.7,van,central,22.3
DRV0037,749,266,4.37,0.94,1,5,87.2,5.6,5.76,17.3,van,central,22.3
DRV0150,745,270,4.36,0.93,1,5,86.3,5.2,5.64,17.9,van,central,22.2
DRV0146,796,271,4.3,0.93,1,5,86.7,5.5,5.58,18.4,van,central,22.2
DRV0027,753,267,4.31,0.97,1,5,86.5,7.1,5.84,18.4,van,central,22.2
DRV0101,773,266,4.33,0.97,1,5,86.8,6,5.61,17.9,van,central,22.2
DRV0193,718,248,4.26,0.94,1,5,86.7,6.5,5.68,18.2,van,central,22.2
DRV0110,783,260,4.32,1.08,1,5,86.9,8.5,5.91,16.4,van,central,22.2
DRV0181,775,262,4.32,0.93,1,5,86.6,5.3,5.67,17.5,van,central,22.2
DRV0040,773,250,4.36,1,1,5,86.4,6.8,5.68,17.1,van,central,22.2
DRV0106,748,258,4.28,0.99,1,5,86.8,7.8,5.74,17.2,van,central,22.2
DRV0100,729,245,4.3,1,1,5,86.5,8.2,5.62,18.2,van,central,22.2
DRV0144,758,281,4.35,0.98,1,5,86.5,7.5,5.94,17.5,van,central,22.2
DRV0162,749,251,4.33,0.96,1,5,86.5,6.4,5.74,16.3,van,central,22.2
DRV0080,686,226,4.35,0.93,1,5,86.7,5.3,5.83,17.3,van,central,22.2
DRV0161,725,288,4.29,1,1,5,86.8,6.2,5.64,18.3,van,central,22.2
DRV0065,749,276,4.31,0.98,1,5,86.6,6.9,5.8,17.4,van,central,22.2
DRV0034,757,266,4.36,0.91,1,5,86.5,6,5.59,17.2,van,central,22.2
DRV0020,755,277,4.32,0.9,1,5,86.6,5.8,5.57,16.5,van,central,22.2
DRV0104,743,259,4.38,0.96,1,5,86.5,6.9,5.76,17.6,van,central,22.2
DRV0171,756,270,4.36,0.9,1,5,85.9,4.1,5.77,17,van,central,22.1
DRV0038,734,268,4.31,0.94,1,5,86.2,7.1,5.73,18.8,van,central,22.1
DRV0133,758,275,4.35,0.94,1,5,86.2,4.4,5.84,17.5,van,central,22.1
DRV0060,759,269,4.36,0.93,1,5,85.9,6.3,5.67,18.7,van,central,22.1
DRV0126,763,270,4.32,0.98,1,5,86.3,7,5.58,18,van,central,22.1
DRV0105,816,284,4.32,1,1,5,86.3,7.4,5.85,18.2,van,central,22.1
DRV0125,707,245,4.27,0.98,1,5,86.1,7.8,5.76,18,van,central,22.1
DRV0149,751,260,4.32,0.89,1,5,85.8,4.2,5.8,16.6,van,central,22.1
DRV0160,761,258,4.34,0.99,1,5,86,7,5.91,17.9,van,central,22.1
DRV0164,761,283,4.37,0.95,1,5,85.9,7.1,5.72,18.6,van,central,22.1
DRV0113,782,280,4.35,0.97,1,5,86.1,6.4,5.8,18.4,van,central,22.1
DRV0148,723,258,4.34,0.94,1,5,85.7,6.2,6.08,18.1,van,central,22
DRV0198,784,270,4.3,0.97,1,5,85.9,7,5.9,18,van,central,22
DRV0035,772,270,4.31,0.98,1,5,85.6,6.7,5.81,18.8,van,central,22
DRV0029,741,263,4.36,0.99,1,5,85.6,6.8,5.7,17.3,van,central,22
DRV0102,731,266,4.33,1.01,1,5,85.7,7.5,5.75,16.6,van,central,22
DRV0159,768,279,4.26,0.96,1,5,86,7.2,5.86,18.3,van,central,22
DRV0043,792,287,4.35,0.95,1,5,85.4,7,5.83,17.7,van,central,22
DRV0127,679,251,4.29,0.94,1,5,85.7,5.6,5.71,17.3,van,central,22
DRV0086,740,257,4.31,0.93,1,5,85.6,6.2,5.66,17.6,van,central,22
DRV0196,749,265,4.29,0.98,1,5,85.7,7.5,5.69,17.6,van,central,22
DRV0108,759,284,4.3,0.98,1,5,85.2,5.6,5.76,17.9,van,central,21.9
DRV0135,760,263,4.29,1,1,5,85.2,6.5,5.76,17.6,van,central,21.9
DRV0004,798,293,4.31,0.94,1,5,85.3,6.5,5.82,17.7,van,central,21.9
DRV0045,749,263,4.27,1.04,1,5,85.6,9.1,5.93,16.8,van,central,21.9
DRV0048,780,273,4.34,1,1,5,85.3,7,5.52,17.1,van,central,21.9
DRV0099,794,292,4.32,0.95,1,5,84.9,7.5,5.85,17.8,van,central,21.9
DRV0052,748,248,4.3,0.98,1,5,85.1,6.5,5.73,18,van,central,21.9
DRV0129,792,300,4.32,1.01,1,5,85.3,7,5.96,17.9,van,central,21.9
DRV0147,768,263,4.28,1.02,1,5,85.2,7.2,5.74,17.2,van,central,21.9
DRV0168,747,267,4.29,0.97,1,5,85.4,6,5.58,17.1,van,central,21.9
DRV0139,734,254,4.31,1.05,1,5,85.4,8.3,5.59,17.7,van,central,21.9
DRV0152,760,267,4.34,0.95,1,5,85,6.4,5.64,17.2,van,central,21.9
DRV0061,745,262,4.23,1.05,1,5,85.5,9.5,5.87,18.4,van,central,21.9
DRV0069,783,259,4.31,0.96,1,5,85.3,6.2,5.68,18.2,van,central,21.9
DRV0091,788,275,4.31,0.91,1,5,85.1,5.1,5.47,17.5,van,central,21.9
DRV0194,770,277,4.33,0.99,1,5,85.2,6.5,5.65,18.2,van,central,21.9
DRV0118,782,276,4.34,0.99,1,5,85.1,7.2,5.72,17.7,van,central,21.9
DRV0112,764,272,4.3,0.99,1,5,84.9,6.6,5.71,17.6,van,central,21.8
DRV0172,750,289,4.28,1.1,1,5,85.1,8.7,5.77,17.3,van,central,21.8
DRV0093,766,258,4.3,0.95,1,5,84.5,6.6,5.76,18.4,van,central,21.8
DRV0028,770,275,4.26,0.98,1,5,84.7,6.5,5.61,18.2,van,central,21.8
DRV0007,771,287,4.33,0.94,1,5,84.7,5.6,5.75,18.2,van,central,21.8
DRV0053,705,252,4.28,0.96,1,5,84.5,6.3,5.72,17.2,van,central,21.8
DRV0005,712,234,4.29,0.97,1,5,84.6,6,5.61,18.4,van,central,21.8
DRV0039,743,250,4.34,0.95,1,5,84.8,5.6,5.89,17.2,van,central,21.8
DRV0033,757,267,4.3,1.06,1,5,85,9,5.76,17.1,van,central,21.8
DRV0156,766,286,4.3,1.01,1,5,85,6.6,5.69,17.7,van,central,21.8
DRV0030,748,257,4.28,1.08,1,5,84.8,10.5,5.86,18,van,central,21.8
DRV0051,754,284,4.25,1.03,1,5,84.9,7.7,5.64,18.1,van,central,21.8
DRV0174,750,270,4.3,0.94,1,5,84.8,5.9,5.8,17.4,van,central,21.8
DRV0186,705,258,4.28,0.94,1,5,84.9,5.8,5.76,17.8,van,central,21.8
DRV0074,767,269,4.2,1.01,1,5,84.8,8.2,5.58,17.2,van,central,21.8
DRV0047,747,250,4.32,0.98,1,5,84.8,6.8,5.66,18.3,van,central,21.8
DRV0090,759,275,4.34,1,1,5,84.4,6.5,5.69,18.2,van,central,21.8
DRV0140,801,291,4.35,0.93,1,5,84.5,5.2,5.61,17.5,van,central,21.8
DRV0062,698,248,4.3,0.96,1,5,84.7,5.6,5.78,17.9,van,central,21.8
DRV0015,766,269,4.29,0.98,1,5,84.8,7.4,5.79,17.3,van,central,21.8
DRV0141,780,278,4.28,1.04,1,5,84.9,8.3,5.9,17.3,van,central,21.8
DRV0084,761,259,4.27,1.03,1,5,84.9,9.7,5.69,16.9,van,central,21.8
DRV0114,754,275,4.23,1.06,1,5,84.7,9.5,5.74,17.5,van,central,21.7
DRV0059,777,266,4.33,0.95,1,5,84.2,6.8,5.96,18.3,van,central,21.7
DRV0188,727,249,4.24,1.05,1,5,84.3,9.2,5.66,16.9,van,east,21.7
DRV0117,760,270,4.34,1.01,1,5,84.1,7,5.81,17.5,van,central,21.7
DRV0078,727,255,4.29,0.98,1,5,84.3,5.9,5.69,18.8,van,central,21.7
DRV0192,698,233,4.3,0.97,1,5,84.1,7.7,5.72,17.2,van,central,21.7
DRV0068,756,252,4.26,0.96,1,5,84.5,6.7,5.7,17.1,van,central,21.7
DRV0138,802,269,4.31,1.01,1,5,84,7.1,5.74,18,van,central,21.7
DRV0121,759,270,4.29,1.01,1,5,84.4,7.8,5.57,17,van,central,21.7
DRV0003,747,253,4.26,1.01,1,5,84.2,7.5,5.72,18.3,van,central,21.7
DRV0094,743,266,4.32,0.92,1,5,84.2,5.6,5.83,16.8,van,central,21.7
DRV0092,728,251,4.24,1.02,1,5,84.5,7.6,5.76,17.5,van,central,21.7
DRV0002,725,250,4.26,1.05,1,5,84.4,8.4,5.6,17.1,van,central,21.7
DRV0116,748,266,4.3,0.96,1,5,84.2,6.8,5.84,18.1,van,central,21.7
DRV0050,755,246,4.24,1.05,1,5,84.6,8.5,6.04,17.5,van,central,21.7
DRV0087,792,269,4.34,0.91,1,5,84,4.5,5.72,17.8,van,central,21.7
DRV0096,754,255,4.27,1.08,1,5,84.3,9,5.88,15.9,van,central,21.7
DRV0143,771,257,4.28,1.02,1,5,84.4,8.2,5.66,16.7,van,central,21.7
DRV0142,756,243,4.28,1.05,1,5,84.4,9.5,5.82,18.5,van,central,21.7
DRV0154,728,244,4.23,1.06,1,5,84.4,9,5.66,17.4,van,central,21.7
DRV0191,761,287,4.27,1.01,1,5,84.3,7,6.02,17.3,van,central,21.7
DRV0137,772,288,4.29,0.94,1,5,83.7,5.2,5.82,17.9,van,central,21.6
DRV0058,756,274,4.28,1.02,1,5,83.6,7.7,5.66,18.3,van,central,21.6
DRV0163,717,262,4.27,1.05,1,5,84,8.4,5.71,17.3,van,central,21.6
DRV0111,759,270,4.33,0.94,1,5,83.7,5.6,5.76,17.4,van,central,21.6
DRV0176,767,282,4.31,0.96,1,5,83.7,5.7,5.72,19.5,van,central,21.6
DRV0016,688,237,4.26,0.99,1,5,84,7.2,6.16,16.4,van,central,21.6
DRV0000,735,257,4.27,1,1,5,83.7,7,5.73,17.1,van,central,21.6
DRV0145,756,241,4.22,1.05,1,5,83.8,7.5,5.68,18.1,van,central,21.6
DRV0014,783,263,4.29,1,1,5,84,8.4,5.86,18.1,van,central,21.6
DRV0032,809,301,4.24,0.99,1,5,83.7,8,5.96,16.7,van,central,21.6
DRV0072,777,249,4.23,1.09,1,5,83.9,9.6,5.58,16.4,van,central,21.6
DRV0077,733,253,4.24,0.97,1,5,83.8,6.7,5.57,18.3,van,central,21.6
DRV0098,711,246,4.26,0.95,1,5,83.7,6.1,5.75,17.9,van,central,21.6
DRV0001,791,264,4.29,0.98,1,5,83.7,6.8,5.65,18.3,van,central,21.6
DRV0018,716,251,4.2,1,1,5,83.3,8,5.82,16.8,van,central,21.5
DRV0071,806,285,4.28,1.07,1,5,83.5,9.5,5.64,17.6,van,central,21.5
DRV0049,728,282,4.24,1,1,5,83.3,7.4,5.7,17.4,van,central,21.5
DRV0169,733,258,4.21,1.04,1,5,83.3,8.5,5.7,17.4,van,central,21.5
DRV0082,726,256,4.26,1.01,1,5,83.6,8.2,5.77,17.5,van,central,21.5
DRV0185,697,239,4.28,1,1,5,83.3,6.7,5.79,18.2,van,central,21.5
DRV0064,725,267,4.33,0.98,1,5,83.1,6.4,5.52,17.3,van,central,21.5
DRV0013,739,269,4.29,0.99,1,5,83.3,7.4,5.62,17.6,van,central,21.5
DRV0107,747,256,4.25,1,1,5,83.6,7.4,5.85,17.6,van,central,21.5
DRV0025,841,274,4.2,1.03,1,5,82.8,8.4,5.86,17.6,van,central,21.4
DRV0103,751,262,4.24,1.05,1,5,83.2,7.3,6.02,17.5,van,central,21.4
DRV0055,768,271,4.26,1.04,1,5,82.7,7.7,6.03,17,van,central,21.4
DRV0089,741,293,4.24,1.03,1,5,82.9,7.8,5.65,16.3,van,central,21.4
DRV0166,782,254,4.22,1.04,1,5,83.1,7.9,5.75,16.9,van,central,21.4
DRV0008,710,233,4.3,0.94,1,5,82,6,5.52,17.8,van,central,21.3
DRV0167,730,282,4.22,1.06,1,5,82.6,8.2,5.57,17.3,van,central,21.3
DRV0115,757,263,4.28,0.97,1,5,82.5,6.1,5.68,17.7,van,central,21.3
DRV0088,750,297,4.26,0.98,1,5,82.5,7.4,5.87,17.9,van,central,21.3
DRV0128,804,294,4.2,1.02,1,5,82.7,7.5,5.69,17,van,central,21.3
DRV0012,736,257,4.29,0.97,1,5,82.1,7,5.82,18.1,van,central,21.3
DRV0158,736,254,4.27,1.01,1,5,82.3,7.9,5.91,17.8,van,central,21.3
DRV0177,775,245,4.27,1.02,1,5,82.4,7.3,5.7,18.1,van,central,21.3
DRV0134,677,233,4.25,1.07,1,5,82,9,5.8,18.5,van,central,21.2
DRV0081,733,275,4.24,1.07,1,5,81.8,8.4,5.88,18.1,van,central,21.2
DRV0197,773,250,4.28,1.07,1,5,82,8.4,5.59,17,van,central,21.2
DRV0031,729,244,4.2,1.07,1,5,82,9,5.66,17.3,van,central,21.2
DRV0187,766,277,4.21,1.08,1,5,82.3,10.5,5.73,17.8,van,central,21.2
DRV0076,756,263,4.18,1.08,1,5,82.1,9.5,5.71,16.4,van,central,21.2
DRV0056,728,266,4.24,1.13,1,5,81.6,10.2,5.77,18.2,van,central,21.1
DRV0109,794,286,4.23,1,1,5,81.5,7.7,5.91,18.2,van,central,21.1
DRV0009,787,299,4.27,1.02,1,5,81.3,8,5.72,17.3,van,east,21.1
DRV0079,773,286,4.18,1.03,1,5,81.5,7.7,5.81,18.6,van,central,21.1
DRV0175,710,251,4.26,1,1,5,81.3,7.2,5.86,17.5,van,east,21.1
DRV0011,759,296,4.22,1.05,1,5,81.4,8.1,5.91,17.7,van,central,21.1
DRV0132,777,271,4.22,1.06,1,5,81.2,8.1,5.82,16.8,van,central,21
DRV0155,744,235,4.22,1.06,1,5,80.9,8.5,5.89,17.1,van,central,21
DRV0070,758,277,4.2,1.03,1,5,81.2,8.7,5.67,18.5,van,central,21
DRV0041,791,249,4.16,1.06,1,5,80.7,10,5.75,16.7,van,central,20.9
DRV0165,785,273,4.12,1.16,1,5,81,11.4,5.75,18,van,central,20.9
DRV0010,763,281,4.18,1.15,1,5,80.8,11.4,5.79,18.2,van,central,20.9
DRV0046,809,288,4.19,1.14,1,5,80.9,11.8,6,17.7,van,central,20.9
DRV0124,771,264,4.18,1.11,1,5,80.3,10.6,5.52,17.3,van,central,20.8
DRV0085,736,259,4.15,1.19,1,5,80.3,12,5.87,17.8,van,central,20.8
DRV0136,752,281,4.17,1.08,1,5,80.4,9.3,5.84,17.7,van,central,20.8
DRV0063,753,256,4.14,1.07,1,5,80.5,9.4,5.74,17.1,van,central,20.8
DRV0073,749,268,4.21,1.04,1,5,79.5,8.6,5.95,17.6,van,central,20.7
DRV0170,756,259,4.23,1.06,1,5,79.2,8.5,5.84,17.7,van,central,20.6
